political_party,sitting_year,keyword,score
ανεξαρτητοι (εκτος κομματος),2023,αρθρ,0.4311532672610254
ανεξαρτητοι (εκτος κομματος),2023,μου,0.5343500905918648
ανεξαρτητοι (εκτος κομματος),2023,νομοσχεδι,0.30689732346601295
ανεξαρτητοι (εκτος κομματος),2023,οποι,1.015161529399935
ανεξαρτητοι (εκτος κομματος),2023,πολιτικ,0.24352299245145387
ανεξαρτητοι (εκτος κομματος),2023,υγει,0.8887990129982892
ανεξαρτητοι (εκτος κομματος),2024,αρθρ,0.11077873355227776
ανεξαρτητοι (εκτος κομματος),2024,νομοσχεδι,0.12443177517395146
ανεξαρτητοι (εκτος κομματος),2024,οποι,0.1105919455525804
ανεξαρτητοι (εκτος κομματος),2024,πολιτικ,0.23234719154897332
ανεξαρτητοι (εκτος κομματος),2024,υγει,0.5959553035959015
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,αρθρ,0.29151452194064875
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,νομοσχεδι,0.4200887899937592
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,οποι,0.6604107637480447
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,παραγωγ,0.6793646506266153
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,πολιτικ,1.784429762867358
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,πρεπ,0.10559093757221534
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,προιοντ,0.38064896885023813
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,τροπολογι,0.6536096187600519
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,φετ,0.7920295780329824
ανεξαρτητοι δημοκρατικοι βουλευτες,2013,χωρ,0.6521901534668014
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,αρθρ,4.95023182080251
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,νομοσχεδι,2.781789860240656
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,οποι,2.91089464233584
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,παραγωγ,3.127050576402153
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,πολιτικ,2.429820681320036
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,πρεπ,3.044723589065594
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,προιοντ,2.651313349464379
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,τροπολογι,3.0601450875612315
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,φετ,4.246390440970623
ανεξαρτητοι δημοκρατικοι βουλευτες,2014,χωρ,4.446288779253759
ανεξαρτητοι ελληνες - πανος καμμενος,2012,αρθρ,1.6808186856937064
ανεξαρτητοι ελληνες - πανος καμμενος,2012,βουλευτ,5.4961237537052625
ανεξαρτητοι ελληνες - πανος καμμενος,2012,επικαιρ,8.475804701979476
ανεξαρτητοι ελληνες - πανος καμμενος,2012,ερωτης,9.042192884890234
ανεξαρτητοι ελληνες - πανος καμμενος,2012,ευχαριστουμ,14.164707510746862
ανεξαρτητοι ελληνες - πανος καμμενος,2012,οποι,5.431065666965556
ανεξαρτητοι ελληνες - πανος καμμενος,2012,πλειοψηφι,1.1954039191306265
ανεξαρτητοι ελληνες - πανος καμμενος,2012,συναδελφ,5.155271486563032
ανεξαρτητοι ελληνες - πανος καμμενος,2012,τροπολογι,1.7592768514043784
ανεξαρτητοι ελληνες - πανος καμμενος,2012,υπουργ,8.218877878820276
ανεξαρτητοι ελληνες - πανος καμμενος,2013,αρθρ,17.01335027095675
ανεξαρτητοι ελληνες - πανος καμμενος,2013,βουλευτ,6.5688979381012995
ανεξαρτητοι ελληνες - πανος καμμενος,2013,επικαιρ,6.084979747504204
ανεξαρτητοι ελληνες - πανος καμμενος,2013,ερωτης,5.93640423438073
ανεξαρτητοι ελληνες - πανος καμμενος,2013,ευχαριστουμ,30.573070945059897
ανεξαρτητοι ελληνες - πανος καμμενος,2013,οποι,9.706052568773623
ανεξαρτητοι ελληνες - πανος καμμενος,2013,πλειοψηφι,17.627085420079258
ανεξαρτητοι ελληνες - πανος καμμενος,2013,συναδελφ,6.675307992988441
ανεξαρτητοι ελληνες - πανος καμμενος,2013,τροπολογι,10.247456529649622
ανεξαρτητοι ελληνες - πανος καμμενος,2013,υπουργ,12.188543469363983
ανεξαρτητοι ελληνες - πανος καμμενος,2014,αρθρ,10.818261525896594
ανεξαρτητοι ελληνες - πανος καμμενος,2014,βουλευτ,5.683666147568566
ανεξαρτητοι ελληνες - πανος καμμενος,2014,επικαιρ,3.513685881920914
ανεξαρτητοι ελληνες - πανος καμμενος,2014,ερωτης,3.5105977576520746
ανεξαρτητοι ελληνες - πανος καμμενος,2014,ευχαριστουμ,24.594678892522733
ανεξαρτητοι ελληνες - πανος καμμενος,2014,οποι,10.830443814506648
ανεξαρτητοι ελληνες - πανος καμμενος,2014,πλειοψηφι,12.399423020053774
ανεξαρτητοι ελληνες - πανος καμμενος,2014,συναδελφ,4.390069689604044
ανεξαρτητοι ελληνες - πανος καμμενος,2014,τροπολογι,12.562808090917304
ανεξαρτητοι ελληνες - πανος καμμενος,2014,υπουργ,6.186031855515645
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,δεκτ,1.7868508992573184
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,δισεκατομμυρι,5.768353583751922
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,ευρω,2.044845581478238
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,ευχαριστουμ,0.131602540526179
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,θελ,3.1307836625772847
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,θυμις,2.735203720507133
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,ναι,5.990333766357931
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,οποι,4.333215992888152
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,τουρισμ,1.4845776675118612
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2015,τραπεζ,4.257146348505066
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,δεκτ,19.064127029198428
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,δισεκατομμυρι,3.894461233836438
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,ευρω,4.287908718397765
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,θελ,5.972160260833987
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,θυμις,3.86359336885893
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,ναι,16.25550013770687
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,οποι,4.246981544979561
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,τουρισμ,1.9465202987942218
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2016,τραπεζ,3.1022145418526446
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2017,δισεκατομμυρι,3.5290432012200914
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,2017,ευρω,2.746223098692057
